AccountID,CustomerID,AccountType,Balance,Status
1001,1,Savings,39900.68,Active
1002,2,Savings,41740.9,Active
1003,3,Savings,1074.66,Active
1004,4,Business,29854.19,Active
1005,5,Business,3511.18,Active
1006,6,Business,27872.13,Active
1007,7,Savings,33630.91,Active
1008,8,Business,3657.23,Active
1009,9,Business,19410.41,Active
1010,10,Current,23819.93,Active
1011,11,Business,24966.33,Active
1012,12,Savings,24679.87,Active
1013,13,Business,6817.38,Active
1014,14,Business,28348.27,Active
1015,15,Current,33287.12,Active
1016,16,Current,42689.74,Active
1017,17,Savings,7010.87,Active
1018,18,Savings,3842.94,Active
1019,19,Savings,17011.63,Active
1020,20,Business,23443.4,Active
1021,21,Current,43090.61,Active
1022,22,Business,22821.28,Active
1023,23,Business,48815.37,Active
1024,24,Current,5385.53,Active
1025,25,Savings,7168.64,Active
1026,26,Savings,6094.3,Active
1027,27,Savings,20940.02,Active
1028,28,Savings,12763.94,Active
1029,29,Current,35179.38,Active
1030,30,Business,49238.34,Active
1031,31,Business,44965.42,Active
1032,32,Savings,27782.63,Active
1033,33,Current,47886.69,Active
1034,34,Savings,45349.71,Active
1035,35,Savings,34234.85,Active
1036,36,Business,9766.09,Active
1037,37,Business,39987.76,Active
1038,38,Business,41991.55,Active
1039,39,Current,25109.8,Active
1040,40,Business,38818.89,Active
1041,41,Current,5175.89,Active
1042,42,Business,38733.16,Active
1043,43,Savings,28083.54,Active
1044,44,Savings,4196.6,Active
1045,45,Business,9495.28,Active
1046,46,Business,34822.18,Active
1047,47,Current,49759.31,Active
1048,48,Savings,19771.86,Active
1049,49,Business,49185.82,Active
1050,50,Savings,45061.29,Active
1051,51,Current,46608.1,Active
1052,52,Business,3804.97,Active
1053,53,Current,32727.16,Active
1054,54,Business,14463.2,Active
1055,55,Current,33689.72,Active
1056,56,Current,15738.69,Active
1057,57,Business,26206.49,Active
1058,58,Business,32754.08,Active
1059,59,Savings,1306.44,Active
1060,60,Savings,41944.05,Active
1061,61,Business,8840.55,Active
1062,62,Savings,4901.26,Active
1063,63,Business,40730.85,Active
1064,64,Current,34612.7,Active
1065,65,Business,40733.47,Active
1066,66,Current,22127.05,Active
1067,67,Savings,24183.93,Active
1068,68,Business,32816.44,Active
1069,69,Current,2599.28,Active
1070,70,Business,13436.29,Active
1071,71,Savings,8588.52,Active
1072,72,Business,32823.37,Active
1073,73,Business,44024.81,Active
1074,74,Business,38702.45,Active
1075,75,Current,19069.69,Active
1076,76,Savings,22611.31,Active
1077,77,Business,1964.75,Active
1078,78,Current,17816.43,Active
1079,79,Savings,11814.53,Active
1080,80,Business,8717.01,Active
1081,81,Business,20735.52,Active
1082,82,Savings,42972.21,Active
1083,83,Savings,24549.4,Active
1084,84,Current,8410.78,Active
1085,85,Current,13256.66,Active
1086,86,Current,21547.67,Active
1087,87,Current,18996.81,Active
1088,88,Business,13110.44,Active
1089,89,Savings,21073.98,Active
1090,90,Business,41999.33,Active
1091,91,Business,43193.95,Active
1092,92,Savings,14979.12,Active
1093,93,Savings,3851.36,Active
1094,94,Business,16730.97,Active
1095,95,Business,33424.12,Active
1096,96,Business,37025.54,Active
1097,97,Current,5120.58,Active
1098,98,Current,48963.0,Active
1099,99,Business,44496.71,Active
1100,100,Current,36400.84,Active
